id;domain;is_legal;is_automated;is_interesting;is_interesting_desc
440;singlemuslim.com;f;f;t;DATA_INTERESTING_DESC_YES_PII,DATA_INTERESTING_DESC_YES_ACCOUNT_TAKEOVER,DATA_INTERESTING_DESC_YES_ACCOUNT_PASSWORD_RESET
441;w-mt.co;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
442;pay.stripe.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
443;fhinfo.app;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
444;dev.foodstock.sht;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
445;www.bbva-aviso-web.com;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
446;m.temu.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
447;luzo.es;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
448;fjn.me;f;f;f;DATA_INTERESTING_DESC_NO_AD
449;dlhdede.top;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
450;cdl.booksy.co;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
451;cdl.booksy.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
452;auth.cex.io;f;f;t;
453;app.skillgigs.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
454;apollo-k8s.pp24.co;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
455;id.onlyfans.com;f;f;t;DATA_INTERESTING_DESC_YES_ACCOUNT_TAKEOVER
456;t.snapchat.com;f;f;f;DATA_INTERESTING_DESC_NO_SCAM,DATA_INTERESTING_DESC_NO_AD
457;www.vodafone.es;f;f;f;DATA_INTERESTING_DESC_NO_AD
458;account.lyft;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
459;9as.net;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
460;coinatmradar.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
461;dev.eu01.idv.onespan.cloud;f;f;t;
462;go.test.idnow.de;f;f;t;
463;go.fintonic.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
464;xenia.page.link;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
465;lihi.cc;f;f;f;DATA_INTERESTING_DESC_NO_AD
466;psc.pre.sia.es;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
467;staging.skysystemz.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
468;survey.zohopublic.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
469;temu.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
470;link.gopuff.com;f;f;t;
471;vfcnt.com;f;f;t;
472;a.co;f;f;f;DATA_INTERESTING_DESC_NO_AD
473;01239.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
474;1mc.onelink.me;f;f;f;DATA_INTERESTING_DESC_NO_AD
475;app.brandclub.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
476;bhpn.me;f;f;f;DATA_INTERESTING_DESC_NO_SCAM,DATA_INTERESTING_DESC_NO_AD
477;click.doft.com;f;f;t;DATA_INTERESTING_DESC_YES_ACCOUNT_PASSWORD_RESET
478;creaturescbd.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
479;cs.angi.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
480;da.gd;f;f;f;DATA_INTERESTING_DESC_NO_AD
